date,count
2013-06-11,36456
2013-06-12,36649
2013-06-13,37838
2013-06-14,35372
2013-06-15,22633
2013-06-16,23632
2013-06-17,36996
2013-06-18,38905
2013-06-19,38128
2013-06-20,37205
2013-06-21,34488
2013-06-22,22328
2013-06-23,24116
2013-06-24,37051
2013-06-25,38924
2013-06-26,38481
2013-06-27,37527
2013-06-28,35081
2013-06-29,22609
2013-06-30,23535
2013-07-01,35825
2013-07-02,37818
2013-07-03,37797
2013-07-04,33322
2013-07-05,32777
2013-07-06,22675
2013-07-07,24558
2013-07-08,38713
2013-07-09,40620
2013-07-10,42070
2013-07-11,41020
2013-07-12,37346
2013-07-13,23190
2013-07-14,24518
2013-07-15,38390
2013-07-16,40149
2013-07-17,40568
2013-07-18,40213
2013-07-19,38293
2013-07-20,24090
2013-07-21,24762
2013-07-22,39038
2013-07-23,40878
2013-07-24,39600
2013-07-25,38883
2013-07-26,36596
2013-07-27,23424
2013-07-28,24364
2013-07-29,37997
2013-07-30,39569
2013-07-31,39220
2013-08-01,38151
2013-08-02,35991
2013-08-03,23359
2013-08-04,24392
2013-08-05,37880
2013-08-06,39787
2013-08-07,40562
2013-08-08,39204
2013-08-09,36126
2013-08-10,23322
2013-08-11,24528
2013-08-12,37294
2013-08-13,38848
2013-08-14,38772
2013-08-15,34626
2013-08-16,34857
2013-08-17,23932
2013-08-18,24779
2013-08-19,37843
2013-08-20,38890
2013-08-21,39298
2013-08-22,38649
2013-08-23,36410
2013-08-24,23893
2013-08-25,25183
2013-08-26,37745
2013-08-27,40279
2013-08-28,40041
2013-08-29,39814
2013-08-30,36737
2013-08-31,23496
2013-09-01,24887
2013-09-02,34734
2013-09-03,40062
2013-09-04,40547
2013-09-05,39817
2013-09-06,36795
2013-09-07,25041
2013-09-08,26867
2013-09-09,40162
2013-09-10,41282
2013-09-11,41776
2013-09-12,40797
2013-09-13,39038
2013-09-14,25547
2013-09-15,27248
2013-09-16,41174
2013-09-17,41800
2013-09-18,40673
2013-09-19,35777
2013-09-20,37267
2013-09-21,25963
2013-09-22,28105
2013-09-23,40921
2013-09-24,42979
2013-09-25,42683
2013-09-26,42336
2013-09-27,39720
2013-09-28,26060
2013-09-29,29404
2013-09-30,41805
2013-10-01,41029
2013-10-02,41378
2013-10-03,40288
2013-10-04,38966
2013-10-05,26606
2013-10-06,28694
2013-10-07,42983
2013-10-08,45969
2013-10-09,45673
2013-10-10,44823
2013-10-11,42240
2013-10-12,28719
2013-10-13,29129
2013-10-14,42706
2013-10-15,45380
2013-10-16,46301
2013-10-17,45649
2013-10-18,42778
2013-10-19,28774
2013-10-20,31296
2013-10-21,45838
2013-10-22,46948
2013-10-23,46510
2013-10-24,44514
2013-10-25,44395
2013-10-26,29485
2013-10-27,31661
2013-10-28,46946
2013-10-29,48500
2013-10-30,48321
2013-10-31,46159
2013-11-01,41112
2013-11-02,29827
2013-11-03,31521
2013-11-04,47735
2013-11-05,49358
2013-11-06,49622
2013-11-07,48864
2013-11-08,46153
2013-11-09,31598
2013-11-10,33505
2013-11-11,47101
2013-11-12,50609
2013-11-13,48306
2013-11-14,49673
2013-11-15,46797
2013-11-16,32098
2013-11-17,34542
2013-11-18,50981
2013-11-19,51901
2013-11-20,51862
2013-11-21,51330
2013-11-22,48100
2013-11-23,32590
2013-11-24,34863
2013-11-25,49346
2013-11-26,51549
2013-11-27,49231
2013-11-28,42985
2013-11-29,39014
2013-11-30,29927
2013-12-01,32875
2013-12-02,50342
2013-12-03,52500
2013-12-04,52398
2013-12-05,51352
2013-12-06,47337
2013-12-07,32551
2013-12-08,34756
2013-12-09,50839
2013-12-10,51506
2013-12-11,50204
2013-12-12,48640
2013-12-13,45504
2013-12-14,30350
2013-12-15,32192
2013-12-16,47571
2013-12-17,48189
2013-12-18,46983
2013-12-19,44986
2013-12-20,41717
2013-12-21,26649
2013-12-22,26917
2013-12-23,36144
2013-12-24,30015
2013-12-25,23280
2013-12-26,29732
2013-12-27,32334
2013-12-28,26369
2013-12-29,27110
2013-12-30,35237
2013-12-31,12471
2014-01-01,19103
2014-01-02,38454
2014-01-03,38788
2014-01-04,31132
2014-01-05,32334
2014-01-06,44539
2014-01-07,47256
2014-01-08,47472
2014-01-09,48662
2014-01-10,46462
2014-01-11,32376
2014-01-12,34043
2014-01-13,49000
2014-01-14,50766
2014-01-15,51247
2014-01-16,51321
2014-01-17,48280
2014-01-18,33741
2014-01-19,35398
2014-01-20,48750
2014-01-21,52079
2014-01-22,52542
2014-01-23,52376
2014-01-24,48155
2014-01-25,36337
2014-01-26,38223
2014-01-27,51032
2014-01-28,52414
2014-01-29,51673
2014-01-30,50439
2014-01-31,47161
2014-02-01,33166
2014-02-02,34890
2014-02-03,47975
2014-02-04,51265
2014-02-05,51264
2014-02-06,52288
2014-02-07,50247
2014-02-08,36698
2014-02-09,38503
2014-02-10,54226
2014-02-11,56115
2014-02-12,56224
2014-02-13,55362
2014-02-14,50776
2014-02-15,35096
2014-02-16,38108
2014-02-17,53408
2014-02-18,57332
2014-02-19,56375
2014-02-20,53624
2014-02-21,53840
2014-02-22,37965
2014-02-23,38901
2014-02-24,57056
2014-02-25,58723
2014-02-26,58317
2014-02-27,58104
2014-02-28,54417
2014-03-01,37253
2014-03-02,39545
2014-03-03,56281
2014-03-04,58275
2014-03-05,58531
2014-03-06,58230
2014-03-07,54381
2014-03-08,36908
2014-03-09,38903
2014-03-10,57466
2014-03-11,58201
2014-03-12,59508
2014-03-13,58819
2014-03-14,54631
2014-03-15,37045
2014-03-16,40071
2014-03-17,58119
2014-03-18,60296
2014-03-19,60348
2014-03-20,59653
2014-03-21,54723
2014-03-22,38438
2014-03-23,41116
2014-03-24,59413
2014-03-25,58491
2014-03-26,57706
2014-03-27,59629
2014-03-28,55961
2014-03-29,37785
2014-03-30,40405
2014-03-31,59279
2014-04-01,59904
2014-04-02,61078
2014-04-03,60665
2014-04-04,56880
2014-04-05,38088
2014-04-06,40745
2014-04-07,59201
2014-04-08,62373
2014-04-09,61447
2014-04-10,60721
2014-04-11,57113
2014-04-12,38778
2014-04-13,41754
2014-04-14,60584
2014-04-15,62573
2014-04-16,61692
2014-04-17,58954
2014-04-18,50828
2014-04-19,37908
2014-04-20,37161
2014-04-21,53971
2014-04-22,63154
2014-04-23,64034
2014-04-24,63013
2014-04-25,58866
2014-04-26,41588
2014-04-27,46281
2014-04-28,62917
2014-04-29,58880
2014-04-30,59201
2014-05-01,51873
2014-05-02,53187
2014-05-03,38524
2014-05-04,42442
2014-05-05,59938
2014-05-06,63226
2014-05-07,64056
2014-05-08,62352
2014-05-09,58471
2014-05-10,40697
2014-05-11,42929
2014-05-12,62494
2014-05-13,63889
2014-05-14,63489
2014-05-15,62615
2014-05-16,57477
