date,count
2013-11-26,169065
2013-11-27,157894
2013-11-28,136719
2013-11-29,123705
2013-11-30,100107
2013-12-01,107641
2013-12-02,158839
2013-12-03,167315
2013-12-04,173493
2013-12-05,164783
2013-12-06,155627
2013-12-07,110095
2013-12-08,117833
2013-12-09,165186
2013-12-10,170602
2013-12-11,161813
2013-12-12,157863
2013-12-13,147743
2013-12-14,103929
2013-12-15,110404
2013-12-16,154025
2013-12-17,155840
2013-12-18,154303
2013-12-19,147934
2013-12-20,134795
2013-12-21,87454
2013-12-22,90902
2013-12-23,116294
2013-12-24,95560
2013-12-25,75020
2013-12-26,95630
2013-12-27,106189
2013-12-28,88428
2013-12-29,91025
2013-12-30,116594
2013-12-31,31726
2014-01-01,58120
2014-01-02,127467
2014-01-03,125012
2014-01-04,104796
2014-01-05,108364
2014-01-06,141684
2014-01-07,150701
2014-01-08,153230
2014-01-09,156880
2014-01-10,148057
2014-01-11,105921
2014-01-12,113571
2014-01-13,157724
2014-01-14,163915
2014-01-15,167072
2014-01-16,165834
2014-01-17,155312
2014-01-18,113485
2014-01-19,122477
2014-01-20,157200
2014-01-21,166796
2014-01-22,168711
2014-01-23,167215
2014-01-24,151448
2014-01-25,131341
2014-01-26,140120
2014-01-27,164024
2014-01-28,172291
2014-01-29,175413
2014-01-30,172560
2014-01-31,156261
2014-02-01,119851
2014-02-02,126767
2014-02-03,160028
2014-02-04,185214
2014-02-05,185081
2014-02-06,188596
2014-02-07,182883
2014-02-08,144148
2014-02-09,150991
2014-02-10,173735
2014-02-11,179494
2014-02-12,180930
2014-02-13,180056
2014-02-14,161547
2014-02-15,117853
2014-02-16,128988
2014-02-17,172004
2014-02-18,184624
2014-02-19,180916
2014-02-20,165619
2014-02-21,173956
2014-02-22,130916
2014-02-23,133455
2014-02-24,179181
2014-02-25,190858
2014-02-26,190665
2014-02-27,190692
2014-02-28,178091
2014-03-01,124467
2014-03-02,133726
2014-03-03,181512
2014-03-04,188886
2014-03-05,190310
2014-03-06,190802
2014-03-07,177738
2014-03-08,126432
2014-03-09,132432
2014-03-10,183691
2014-03-11,185158
2014-03-12,193740
2014-03-13,195190
2014-03-14,178305
2014-03-15,124425
2014-03-16,136814
2014-03-17,187624
2014-03-18,194318
2014-03-19,201527
2014-03-20,199485
2014-03-21,178082
2014-03-22,130770
2014-03-23,141071
2014-03-24,191507
2014-03-25,180333
2014-03-26,174354
2014-03-27,194295
2014-03-28,188912
2014-03-29,130008
2014-03-30,137153
2014-03-31,191265
2014-04-01,193190
2014-04-02,196219
2014-04-03,195235
2014-04-04,184951
2014-04-05,128896
2014-04-06,139005
2014-04-07,189965
2014-04-08,204869
2014-04-09,198513
2014-04-10,195498
2014-04-11,183419
2014-04-12,131578
2014-04-13,143817
2014-04-14,196931
2014-04-15,203496
2014-04-16,203206
2014-04-17,205912
2014-04-18,166082
2014-04-19,128248
2014-04-20,122709
2014-04-21,176107
2014-04-22,204216
2014-04-23,208760
2014-04-24,205596
2014-04-25,192892
2014-04-26,140533
2014-04-27,159653
2014-04-28,205616
2014-04-29,183726
2014-04-30,190612
2014-05-01,176058
2014-05-02,176701
2014-05-03,130108
2014-05-04,144110
2014-05-05,197150
2014-05-06,206617
2014-05-07,207416
2014-05-08,202353
2014-05-09,190916
2014-05-10,137372
2014-05-11,141743
2014-05-12,199411
2014-05-13,207151
2014-05-14,205007
2014-05-15,207319
2014-05-16,187697
2014-05-17,130923
2014-05-18,140592
2014-05-19,195534
2014-05-20,205676
2014-05-21,206185
2014-05-22,205874
2014-05-23,192637
2014-05-24,130335
2014-05-25,153835
2014-05-26,178292
2014-05-27,202577
2014-05-28,203016
2014-05-29,189393
2014-05-30,179822
2014-05-31,124010
2014-06-01,132532
2014-06-02,180562
2014-06-03,199251
2014-06-04,202997
2014-06-05,199856
2014-06-06,186669
2014-06-07,125024
2014-06-08,135646
2014-06-09,183425
2014-06-10,200648
2014-06-11,199329
2014-06-12,194715
2014-06-13,179106
2014-06-14,122916
2014-06-15,132908
2014-06-16,187995
2014-06-17,198226
2014-06-18,197228
2014-06-19,195358
2014-06-20,179781
2014-06-21,124347
2014-06-22,140521
2014-06-23,188083
2014-06-24,199331
2014-06-25,198583
2014-06-26,193498
2014-06-27,181950
2014-06-28,117860
2014-06-29,126681
2014-06-30,185714
2014-07-01,189892
2014-07-02,194079
2014-07-03,192253
2014-07-04,153251
2014-07-05,108932
2014-07-06,123444
2014-07-07,190485
2014-07-08,199176
2014-07-09,193148
2014-07-10,198665
2014-07-11,190836
2014-07-12,126994
2014-07-13,129099
2014-07-14,188746
2014-07-15,200882
2014-07-16,202637
2014-07-17,189172
2014-07-18,196688
2014-07-19,133698
2014-07-20,140192
2014-07-21,204749
2014-07-22,211104
2014-07-23,203511
2014-07-24,202762
2014-07-25,191629
2014-07-26,125976
2014-07-27,138153
2014-07-28,194553
2014-07-29,202215
2014-07-30,203732
2014-07-31,204486
2014-08-01,184800
2014-08-02,121873
2014-08-03,129436
2014-08-04,189719
2014-08-05,202556
2014-08-06,204813
2014-08-07,204124
2014-08-08,191151
2014-08-09,128131
2014-08-10,137831
2014-08-11,198948
2014-08-12,204342
2014-08-13,206193
2014-08-14,201051
2014-08-15,182040
2014-08-16,127176
2014-08-17,138053
2014-08-18,198323
2014-08-19,212927
2014-08-20,210238
2014-08-21,210911
2014-08-22,199552
2014-08-23,143667
2014-08-24,148540
2014-08-25,198832
2014-08-26,207071
2014-08-27,206930
2014-08-28,203948
2014-08-29,192947
2014-08-30,130649
2014-08-31,139665
2014-09-01,183922
2014-09-02,208023
2014-09-03,215425
2014-09-04,213888
2014-09-05,198434
2014-09-06,143145
2014-09-07,154536
2014-09-08,225992
2014-09-09,214162
2014-09-10,218343
2014-09-11,221180
2014-09-12,207328
2014-09-13,151123
2014-09-14,164372
2014-09-15,220501
2014-09-16,226449
2014-09-17,224270
2014-09-18,217574
2014-09-19,207124
2014-09-20,147683
2014-09-21,161653
2014-09-22,215281
2014-09-23,215817
2014-09-24,225861
2014-09-25,221142
2014-09-26,209353
2014-09-27,146675
2014-09-28,156141
2014-09-29,220523
2014-09-30,217516
2014-10-01,218029
2014-10-02,223200
2014-10-03,209435
2014-10-04,146995
2014-10-05,154717
2014-10-06,216520
2014-10-07,227474
2014-10-08,236776
2014-10-09,231093
2014-10-10,219278
2014-10-11,161301
2014-10-12,163112
2014-10-13,227718
2014-10-14,233540
2014-10-15,239035
2014-10-16,236484
2014-10-17,221242
2014-10-18,160368
2014-10-19,165156
2014-10-20,231777
2014-10-21,242017
2014-10-22,230157
2014-10-23,238700
2014-10-24,225933
2014-10-25,162150
2014-10-26,181288
2014-10-27,242555
2014-10-28,331540
2014-10-29,335023
2014-10-30,245026
2014-10-31,223873
2014-11-01,160221
2014-11-02,170584
2014-11-03,238966
2014-11-04,249125
2014-11-05,249306
2014-11-06,240422
2014-11-07,234106
2014-11-08,170884
2014-11-09,188159
2014-11-10,243030
2014-11-11,249319
2014-11-12,251686
2014-11-13,258936
2014-11-14,239891
2014-11-15,180481
2014-11-16,190071
2014-11-17,246745
2014-11-18,265626
2014-11-19,257982
2014-11-20,253201
2014-11-21,241161
2014-11-22,176354
2014-11-23,192332
2014-11-24,252992
2014-11-25,260667
2014-11-26,256309
2014-11-27,228563
2014-11-28,203209
2014-11-29,161702
2014-11-30,183463
2014-12-01,252360
2014-12-02,263774
2014-12-03,264840
2014-12-04,264019
2014-12-05,252809
